Product ID,Product Position,Promotion,Product Category,Seasonal,Sales Volume,brand,price,currency,terms,section,season,material,origin,Total Revenue,Order Date,Sales Month
185102.0,Aisle,Yes,clothing,Yes,1243.0,Zara,78.99,USD,jackets,MAN,Winter,Polyester,Brazil,98184.56999999999,2023-01-01,2023-01
188771.0,Aisle,Yes,clothing,No,1429.0,Zara,14.99,USD,jackets,MAN,Autumn,Cotton,Turkey,21420.71,2023-01-02,2023-01
180176.0,End-cap,Yes,clothing,Yes,1168.0,Zara,71.95,USD,jackets,WOMAN,Autumn,Polyester,Morocco,84037.6,2023-01-03,2023-01
112917.0,Aisle,Yes,clothing,No,1348.0,Zara,30.99,USD,jackets,MAN,Spring,Polyester,China,41774.52,2023-01-04,2023-01
192936.0,End-cap,Yes,clothing,Yes,1602.0,Zara,22.99,USD,jackets,WOMAN,Winter,Wool Blend,China,36829.979999999996,2023-01-05,2023-01
117590.0,End-cap,Yes,clothing,Yes,1282.0,Zara,25.95,USD,jackets,WOMAN,Autumn,Cotton,Turkey,33267.9,2023-01-06,2023-01
189118.0,Front of Store,No,clothing,No,688.0,Zara,87.99,USD,jackets,MAN,Winter,Acrylic,China,60537.119999999995,2023-01-07,2023-01
182157.0,Aisle,Yes,clothing,Yes,1711.0,Zara,24.0,USD,jackets,WOMAN,Summer,Cotton,Portugal,41064.0,2023-01-08,2023-01
141861.0,Aisle,No,clothing,Yes,857.0,Zara,32.95,USD,jackets,WOMAN,Winter,Wool,India,28238.15,2023-01-09,2023-01
137121.0,Aisle,No,clothing,No,769.0,Zara,39.95,USD,jackets,MAN,Autumn,Wool Blend,China,30721.550000000003,2023-01-10,2023-01
113143.0,Aisle,Yes,clothing,Yes,1696.0,Zara,22.99,USD,jackets,WOMAN,Winter,Wool,China,38991.04,2023-01-11,2023-01
140028.0,Aisle,Yes,clothing,No,1538.0,Zara,15.95,USD,jackets,WOMAN,Autumn,Polyester,Portugal,24531.1,2023-01-12,2023-01
134693.0,Aisle,No,clothing,Yes,822.0,Zara,49.99,USD,jackets,MAN,Autumn,Cotton,Portugal,41091.78,2023-01-13,2023-01
151396.0,Front of Store,No,clothing,No,840.0,Zara,69.99,USD,jackets,WOMAN,Autumn,Viscose,Bangladesh,58791.6,2023-01-14,2023-01
132889.0,Aisle,Yes,clothing,Yes,1569.0,Zara,28.99,USD,jackets,WOMAN,Spring,Polyester,China,45485.31,2023-01-15,2023-01
152174.0,End-cap,No,clothing,Yes,952.0,Zara,29.99,USD,jackets,WOMAN,Spring,Wool Blend,India,28550.48,2023-01-16,2023-01
129906.0,Aisle,No,clothing,Yes,915.0,Zara,29.99,USD,jackets,WOMAN,Autumn,Cotton,Portugal,27440.85,2023-01-17,2023-01
195879.0,Front of Store,Yes,clothing,Yes,1522.0,Zara,25.99,USD,jackets,WOMAN,Autumn,Cotton,India,39556.78,2023-01-18,2023-01
155050.0,Aisle,Yes,clothing,Yes,1305.0,Zara,77.99,USD,jackets,MAN,Winter,Polyester,Morocco,101776.95,2023-01-19,2023-01
194410.0,End-cap,No,clothing,No,840.0,Zara,49.99,USD,jackets,WOMAN,Spring,Linen,Bangladesh,41991.6,2023-01-20,2023-01
141904.0,End-cap,No,clothing,No,997.0,Zara,25.95,USD,jackets,WOMAN,Spring,Denim,China,25872.149999999998,2023-01-21,2023-01
124981.0,Front of Store,No,clothing,Yes,857.0,Zara,79.99,USD,jackets,WOMAN,Autumn,Denim,Bangladesh,68551.43,2023-01-22,2023-01
161909.0,Aisle,No,clothing,No,982.0,Zara,39.99,USD,jackets,WOMAN,Spring,Wool Blend,Vietnam,39270.18,2023-01-23,2023-01
129152.0,End-cap,No,clothing,Yes,970.0,Zara,19.95,USD,jackets,MAN,Autumn,Wool Blend,Spain,19351.5,2023-01-24,2023-01
183243.0,Front of Store,Yes,clothing,No,1453.0,Zara,39.99,USD,jackets,WOMAN,Autumn,Polyester,Brazil,58105.47,2023-01-25,2023-01
198248.0,Front of Store,No,clothing,No,870.0,Zara,22.99,USD,jackets,MAN,Autumn,Polyester,India,20001.3,2023-01-26,2023-01
191230.0,End-cap,Yes,clothing,No,1533.0,Zara,21.99,USD,jackets,WOMAN,Autumn,Cotton,Cambodia,33710.67,2023-01-27,2023-01
187234.0,Front of Store,No,clothing,Yes,807.0,Zara,49.99,USD,jackets,WOMAN,Spring,Cotton,India,40341.93,2023-01-28,2023-01
148888.0,Front of Store,Yes,clothing,Yes,1604.0,Zara,24.95,USD,jackets,WOMAN,Autumn,Wool Blend,Bangladesh,40019.799999999996,2023-01-29,2023-01
110805.0,Front of Store,Yes,clothing,Yes,1255.0,Zara,21.99,USD,jackets,MAN,Autumn,Viscose,China,27597.449999999997,2023-01-30,2023-01
179801.0,Front of Store,Yes,clothing,Yes,1268.0,Zara,22.99,USD,jackets,MAN,Autumn,Cotton,China,29151.32,2023-01-31,2023-01
134927.0,Aisle,No,clothing,Yes,1047.0,Zara,24.0,USD,jackets,WOMAN,Winter,Viscose,Bangladesh,25128.0,2023-02-01,2023-02
123150.0,End-cap,No,clothing,Yes,744.0,Zara,49.99,USD,jackets,MAN,Autumn,Polyester,Spain,37192.560000000005,2023-02-02,2023-02
159145.0,End-cap,Yes,clothing,Yes,1744.0,Zara,32.99,USD,jackets,WOMAN,Winter,Wool,Turkey,57534.560000000005,2023-02-03,2023-02
172364.0,Aisle,Yes,clothing,Yes,1447.0,Zara,31.99,USD,jackets,WOMAN,Autumn,Viscose,India,46289.53,2023-02-04,2023-02
